EventId,Date,StartTime,EndTime,Location,TCode
S0001,2023-09-06,21:00:00,00:15:00,CIF Gym 2,F2023
S0002,2023-09-07,21:00:00,00:15:00,CIF Gym 3,F2023
S0003,2023-09-08,15:01:00,17:00:00,CIF Gym 1,F2023
S0004,2023-09-08,15:02:00,17:00:00,CIF Gym 2,F2023
S0005,2023-09-08,17:01:00,19:00:00,CIF Gym 1,F2023
S0006,2023-09-11,21:30:00,00:00:00,CIF Gym 3,F2023
S0007,2023-09-12,22:15:00,00:15:00,PAC Small Gym,F2023
S0008,2023-09-13,22:15:00,00:15:00,PAC Small Gym,F2023
S0009,2023-09-14,21:30:00,00:15:00,PAC Small Gym,F2023
S0010,2023-09-15,15:01:00,17:00:00,CIF Gym 1,F2023
S0011,2023-09-15,15:02:00,17:00:00,CIF Gym 2,F2023
S0012,2023-09-15,17:01:00,19:00:00,CIF Gym 1,F2023
S0013,2023-09-15,17:02:00,19:00:00,CIF Gym 2,F2023
S0014,2023-09-15,19:01:00,21:00:00,CIF Gym 1,F2023
S0015,2023-09-15,19:02:00,21:00:00,CIF Gym 2,F2023
S0016,2023-09-17,09:00:00,11:30:00,PAC Small Gym,F2023
S0017,2023-09-17,11:30:00,14:00:00,PAC Small Gym,F2023
S0018,2023-09-18,21:30:00,00:00:00,PAC Small Gym,F2023
S0019,2023-09-19,21:30:00,00:15:00,PAC Small Gym,F2023
S0020,2023-09-20,22:15:00,00:15:00,PAC Small Gym,F2023
S0021,2023-09-24,09:00:00,11:30:00,PAC Small Gym,F2023
S0022,2023-09-24,11:30:00,14:00:00,PAC Small Gym,F2023
S0023,2023-09-25,21:30:00,00:00:00,PAC Small Gym,F2023
S0024,2023-09-26,21:30:00,00:15:00,PAC Small Gym,F2023
S0025,2023-09-27,22:15:00,00:15:00,PAC Small Gym,F2023
S0026,2023-09-28,21:30:00,00:15:00,PAC Small Gym,F2023
S0027,2023-09-29,15:01:00,17:00:00,CIF Gym 1,F2023
S0028,2023-09-29,15:02:00,17:00:00,CIF Gym 2,F2023
S0029,2023-10-01,09:00:00,11:30:00,PAC Small Gym,F2023
S0030,2023-10-01,11:30:00,14:00:00,PAC Small Gym,F2023
S0031,2023-10-02,21:30:00,00:15:00,PAC Small Gym,F2023
S0032,2023-10-03,21:30:00,00:15:00,PAC Small Gym,F2023
S0033,2023-10-04,22:15:00,00:15:00,PAC Small Gym,F2023
S0034,2023-10-05,21:30:00,00:15:00,PAC Small Gym,F2023
S0035,2023-10-10,21:30:00,00:15:00,PAC Small Gym,F2023
S0036,2023-10-11,22:15:00,00:15:00,PAC Small Gym,F2023
S0037,2023-10-12,21:30:00,00:15:00,PAC Small Gym,F2023
S0038,2023-10-13,15:01:00,17:00:00,CIF Gym 1,F2023
S0039,2023-10-13,17:01:00,19:00:00,CIF Gym 1,F2023
S0040,2023-10-13,19:01:00,21:00:00,CIF Gym 1,F2023
S0041,2023-10-15,09:00:00,11:30:00,PAC Small Gym,F2023
S0042,2023-10-15,11:30:00,14:00:00,PAC Small Gym,F2023
S0043,2023-10-20,15:01:00,17:00:00,CIF Gym 1,F2023
S0044,2023-10-20,15:02:00,17:00:00,CIF Gym 2,F2023
S0045,2023-10-20,17:01:00,19:00:00,CIF Gym 1,F2023
S0046,2023-10-20,19:01:00,21:00:00,CIF Gym 1,F2023
S0047,2023-10-24,21:30:00,00:15:00,PAC Small Gym,F2023
S0048,2023-10-25,22:15:00,00:15:00,PAC Small Gym,F2023
S0049,2023-10-26,21:30:00,00:15:00,PAC Small Gym,F2023
