TeamId,TeamName,EventId
TM0001,Serving Cervezas,T0001
TM0002,CIFhillis,T0001
TM0003,Cat naps,T0001
TM0004,Xtr3m3 gaym3rz,T0001
TM0005,Individuals 1,T0001
TM0006,Snoozin' for a bruisin',T0001
TM0007,Asians,T0001
TM0008,Passing Out,T0001
TM0009,no freeballs,T0001
TM0010,Kiss my ace,T0001
TM0011,Robert Fu Fanclub,T0001
TM0012,Bad at naming,T0001
TM0013,Kelly's Team,T0001
TM0014,Reverse cowgirl,T0001
TM0015,Chewy,T0001
TM0016,seepy pres,T0001
TM0017,Don't sleep on us,T0001
TM0018,Individuals 2,T0001
TM0019,Engineering,T0002
TM0020,Mathematics,T0002
TM0021,Arts + friends,T0002
TM0022,Science,T0002
TM0023,Health + friends,T0002
TM0024,Environment + friends,T0002
TM0025,Donny's Lab Specimens,T0003
TM0026,Individuals 1,T0003
TM0027,Setting ducks,T0003
TM0028,sheesh?,T0003
TM0029,TEAM POGGERS,T0003
TM0030,Individuals 2,T0003
TM0031,PEAcetea!,T0003
TM0032,tape ticklers,T0003
TM0033,How I set your mother ,T0003
TM0034,Matthias' Team,T0003
TM0035,we love coco(en) 🥰,T0003
TM0036,6 Feet Tall,T0003
TM0037,Olympia Airlines,T0004
TM0038,Nepotism,T0004
TM0039,Shankadoodle,T0004
TM0040,Shagg these balls,T0004
TM0041,volleybees,T0004
TM0042,Dirti dolphyns,T0004
TM0043,Team Stiff,T0004
TM0044,BALL SLAPPERS 4,T0004
TM0045,Goosebumps,T0004
TM0046,SHANKS Daily,T0004
TM0047,SLC Rodents,T0004
TM0048,SHANK Me Baby 😘,T0004
TM0049,calm your tips,T0004
TM0050,Ray Zhu,T0004
TM0051,Hungry Hippos,T0004
TM0052,Kiss My Ace,T0004
TM0053,No Setters,T0004
TM0054,gojo,T0004
TM0055,Ball Fondlers 2,T0004
TM0056,Great Wall of Asians and White Guy,T0004
TM0057,Safe Sets,T0004
TM0058,Practice Safe Sets,T0004
TM0059,mic'd up,T0004
TM0060,sneaky negators,T0004
TM0061,shankers,T0004
TM0062,AlI want for Christmas is Youuuuuuuuuuuu,T0004
TM0063,arts + friends,T0005
TM0064,health + friends,T0005
TM0065,mathletes (math1),T0005
TM0066,Engiqueers (eng),T0005
TM0067,H20 + LO2 (sci),T0005
TM0068,inside out (math2),T0005
TM0069,Get SERVEd,T0006
TM0070,Ray Zhu,T0006
TM0071,Lean mean bean machine,T0006
TM0072,Robert’s Luscious Lips,T0006
TM0073,Two and a Half Men,T0006
TM0074,AAA Batteries ,T0006
TM0075,Mcflurries,T0006
TM0076,Drive By your block ,T0006
TM0077,Fruity Fellas,T0006
TM0078,Chu chew choo ,T0006
TM0079,Taco Bell >>> Chipotle,T0006
TM0080,set^3,T0006
TM0081,lol,T0006
TM0082,2 first years and a fob,T0006
TM0083,GEN vb,T0007
TM0084,Sticky Blicky,T0007
TM0085,Ray Zoo,T0007
TM0086,PPE’s,T0007
TM0087,Individuals 1,T0007
TM0088,Misaka,T0007
TM0089,Allen's Keys,T0007
TM0090,Individuals 2,T0007
TM0091,Individuals 3,T0007
TM0092,Dirty Sets,T0007
TM0093,The tennis players,T0007
TM0094,Poo,T0007
TM0095,to be determined,T0007
TM0096,wabalubadubdub,T0007
TM0097,name,T0007
TM0098,Touch tips,T0007
TM0099,SLC Rodents,T0007
TM0100,we always get it up ,T0007
TM0101,wo(men) in black,T0008
TM0102,LEBRON,T0008
TM0103,"Going, Going, Graduated",T0008
TM0104,hehe,T0008
TM0105,Phat Coks,T0008
TM0106,"The Good, the Bad, and the Ugly",T0008
TM0107,TBD,T0008
TM0108,Koolaid,T0008
TM0109,rainy,T0008
TM0110,Spiked Punch,T0008
TM0111,Best Dressed,T0008
